"","title","response","domestic","domestic2","foreign","foreign2"
"223","Papa (Luo shan ji dao dan ji hua)","$26.7k","$26.7k","100.0%","n/a","0.0%"
"224","Standing Tall (La tete haute)","$26.1k","$26.1k","100.0%","n/a","0.0%"
"225","Chevalier","$25.6k","$25.6k","100.0%","n/a","0.0%"
"226","The New Year's Eve of Old Lee","$25.4k","$25.4k","100.0%","n/a","0.0%"
"227","A Monster with a Thousand Heads","$24.9k","$24.9k","100.0%","n/a","0.0%"
"228","Lolo","$24.1k","$24.1k","100.0%","n/a","0.0%"
"229","Sanam Teri Kasam","$22.1k","$22.1k","100.0%","n/a","0.0%"
"230","Term Life","$21.3k","$21.3k","100.0%","n/a","0.0%"
"231","Right Now, Wrong Then","$18.1k","$18.1k","100.0%","n/a","0.0%"
"232","Kaili Blues","$18.0k","$18.0k","100.0%","n/a","0.0%"
"233","Colonia","$15.7k","$15.7k","100.0%","n/a","0.0%"
"234","Argentina","$14.9k","$14.9k","100.0%","n/a","0.0%"
"235","Remember You","$14.8k","$14.8k","100.0%","n/a","0.0%"
"236","Adderall Diaries","$13.2k","$13.2k","100.0%","n/a","0.0%"
"237","The Ones Below","$12.5k","$12.5k","100.0%","n/a","0.0%"
"238","Serial Killer 1","$10.3k","$10.3k","100.0%","n/a","0.0%"
"239","The Last King","$8.9k","$8.9k","100.0%","n/a","0.0%"
"240","Mojave","$8.3k","$8.3k","100.0%","n/a","0.0%"
"241","They Will Have to Kill Us First","$7.5k","$7.5k","100.0%","n/a","0.0%"
"242","The Other Side","$6.5k","$6.5k","100.0%","n/a","0.0%"
"243","Search Party","$4.6k","$4.6k","100.0%","n/a","0.0%"
"244","In Harmony","$3.1k","$3.1k","100.0%","n/a","0.0%"
"245","Neither Heaven Nor Earth","$2.8k","$2.8k","100.0%","n/a","0.0%"
"246","Next Time I'll Aim for the Heart","$0.8k","$0.8k","100.0%","n/a","0.0%"
